job title,company,location,job type,date,job skills
NVH simulation engineer,Confidential,"New Cairo, Cairo, Egypt ",Full Time,6 hours ago,Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · NVH · Engineering · Simulation · Mechanical Engineering · Mechatronics · automotive
Devops Engineer,SSC Egypt,"Nasr City, Cairo, Egypt ",Full Time,6 hours ago,Experienced · 4 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · DevOps · Docker · Information Technology (IT) · Azure DevOps
FITTER OF STEEL CONSTRUCTIONS,K. Liaromatis S.A,"Patra, Greece ",Full Time,6 hours ago,Experienced · 5 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Manufacturing/Production · Steel Fabrication · Steel Structure
CFD simulation Engineer,Confidential,"New Cairo, Cairo, Egypt ",Full Time,6 hours ago,"Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering · Mechanical, Electrical, and Plumbing (MEP) · Mechatronics · CFD · Mechanical Engineering · Simulation"
Engineering Mechatronic Systems,Confidential,"New Cairo, Cairo, Egypt ",Full Time,6 hours ago,"Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Engineering · Mechatronic · Mechanical, Electrical, and Plumbing (MEP) · mechatronic systems"
"Engineering Body In White Doors, Closures",Confidential,"New Cairo, Cairo, Egypt ",Full Time,6 hours ago,"Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · Mechatronics · Mechanical, Electrical, and Plumbing (MEP) · Automotive · Engineering"
Facility Administrator,Majorel Egypt,"Alexandria, Egypt ",Full Time,6 hours ago,Experienced · 3 - 4 Yrs of Exp · Administration · Facility · Facility administrator · Administration · Facility Management · Microsoft Office · Office management
German Recruiter (Alex sites),Majorel Egypt,"Alexandria, Egypt ",Full Time,6 hours ago,Entry Level · 1 - 3 Yrs of Exp · Human Resources · Human Resources (HR) · german · Recruitment · Sourcing · Screening
Planning Engineer,Egypt Gold,"Obour City, Cairo, Egypt ",Full Time,6 hours ago,Experienced · 4 - 7 Yrs of Exp · Project/Program Management · Engineering - Mechanical/Electrical · analytical · Planning · Project Management · Engineering
PHP Web Developer,(MSA) October University,"6th of October, Giza, Egypt ",Full Time,6 hours ago,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · HTML5 · JavaScript · CSS3 · Web Development · PHP · Laravel
International Relationship Officer,Alwadi Holding,"Mohandessin, Giza, Egypt ",Full Time,6 hours ago,Experienced · 5 - 7 Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Relations · Sales · Customer Service · Microsoft Office · CRM · Communication · English · Business
Operations Manager,Drop,"New Cairo, Cairo, Egypt ",Full Time,6 hours ago,Manager · 2 - 4 Yrs of Exp · males_preferred · Operations/Management · Project Management · Operations Management · Site Management · Automotive Maintenance · Management · Startup · Auto-Tech · Apps · Web Applications
Senior sales representative-Canal,Confidential,"Suez, Egypt ",Full Time,7 hours ago,Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · Medical/Healthcare · Sales/Retail · Communication · Customer Service · Insurance · Medical · Negotiation · Pharmacy · Sales
Cost Control Engineer,GIECO,"Cairo, Egypt ",Full Time,7 hours ago,Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Quality Control · Engineering · Cost Control · Cost · Control · Civil Engineering
Architectural & Interior Designer,Alamayia for general contracting,"New Cairo, Cairo, Egypt ",Full Time,7 hours ago,Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Adobe Photoshop · Architecture Engineering · AutoCAD · Architecture · photoshop · Engineering · Design · adobe · 3ds Max
Senior sales representative,Confidential,"Assiut, Egypt ",Full Time,7 hours ago,Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · Medical/Healthcare · Sales/Retail · Communication · Customer Service · Medical · Negotiation · Pharmacy · Sales · sales skills
Collection Officer,Solikgroup,"Bolkly, Alexandria, Egypt ",Full Time,7 hours ago,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Administration · Customer Service/Support · Commerce · Collection · Accounting · Finance
Talent Acquisition Specialist,Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,7 hours ago,Experienced · 2 - 5 Yrs of Exp · Administration · Engineering - Construction/Civil/Architecture · Human Resources · Talent acquisition · Construction · Recruitment · Human Resources (HR) · Interviewing · HR Diploma · HR
Account Manager,Reap Solutions,"Suez, Egypt ",Full Time,7 hours ago,Experienced · 1 - 3 Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · business · Communication · Customer Service · Medical · Negotiation · negotiation skills · Sales
HR Coordinator - Construction,MAC EGYPT REAL ESTATE CO.,"10th of Ramadan City, Sharqia, Egypt ",Full Time,7 hours ago,Entry Level · 1 - 3 Yrs of Exp · Administration · Engineering - Construction/Civil/Architecture · Human Resources · Human Resources (HR) · Recruitment · Microsoft Office · Administration · Business Administration · Talent acquisition · Human Resources
Office Administrator,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,7 hours ago,Entry Level · 2 - 4 Yrs of Exp · Administration · Admin · Organizing
Office Coordinator,Injaz Tech for advanced systems,"Heliopolis, Cairo, Egypt ",Full Time,7 hours ago,Experienced · 1 - 4 Yrs of Exp · Administration · Administration · Communication skills · Office management
Recruitment Specialist,MAC EGYPT REAL ESTATE CO.,"10th of Ramadan City, Sharqia, Egypt ",Full Time,7 hours ago,Experienced · 4 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Human Resources · HR · Human Resources (HR) · Recruitment · Talent acquisition · business · Administration · Business Administration · Construction
Audior,Blue Nile,"Zamalek, Cairo, Egypt ",Full Time,7 hours ago,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Auditing · Finance
Cost Controller Accountant Manager,Concord EC,"Maadi, Cairo, Egypt ",Full Time,7 hours ago,Manager · 12 - 15 Yrs of Exp · Accounting/Finance · accountant · Cost Accounting · Cost · Accounting
English Content Creator,Cartlow,"Maadi, Cairo, Egypt ",Full Time,7 hours ago,Experienced · 5 - 6 Yrs of Exp · Writing/Editorial · Content · copywriter · English · Marketing · Social Media · Writing · Editing · Creative
Senior Security Engineer,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",Full Time,7 hours ago,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · CCNP · Communication · Computer Science · Engineering · English · Information Technology (IT) · Software
Facilities & Administration Coordinator,Azza Fahmy Jewellery,"6th of October, Giza, Egypt ",Full Time,7 hours ago,Entry Level · 0 - 5 Yrs of Exp · Administration · Operations/Management · Admin · Administration · facilities · Coordinator · Office management
Sales Account Manager - Consumer Electronics,Union Group,"Obour City, Cairo, Egypt ",Full Time,7 hours ago,Experienced · 5 - 8 Yrs of Exp · Customer Service/Support · Sales/Retail · Sales Skills · Sales · Sales Target · Electronics · Consumer Electronics · Communication · Negotiation · Customer Service
Quantity Survey Engineer,PAVILLION ARCHITECTS,"New Cairo, Cairo, Egypt ",Full Time,7 hours ago,Experienced · 6 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · architectural · Engineering
Office Admin,GIECO,"Cairo, Egypt ",Full Time,7 hours ago,Experienced · 2 - 4 Yrs of Exp · Administration · Customer Service/Support · Operations/Management · Admin · Administration · Microsoft Office · Office Admin · office · Office management · Skills
Contract Engineer,Deutschland Technology Limited,"Obour City, Cairo, Egypt ",Full Time,7 hours ago,Entry Level · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Drafting Contracts · Contract Engineering · Contract Writing · AutoCAD · Mechanical · Microsoft Office · Contract · English
VOIS - Ireland account - Customer Service Agent - Cairo\Giza Residents (Work from Home),_VOIS Egypt,"Cairo, Egypt ",Full TimeShift BasedWork From Home,7 hours ago,Entry Level · 0 - 6 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · English
Android Developer - Senior - Remote,GetTechForce.com,"Cairo, Egypt ",Full TimeWork From Home,7 hours ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Android · Android studio · Computer Science · Information Technology (IT) · Git · Java · Kotlin
General Accountant,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,8 hours ago,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Accounting · Financial Management · Finance · Financial Analysis · Tax · GAAP · English · excel · Financial
Sr. BI & Reporting Specialist,Masary,"Mokattam, Cairo, Egypt ",Full Time,8 hours ago,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Power BI · OBIEE · MS Office · Banking Sector · Computer Science · Information Technology (IT) · English · Power
Call Center Advisor - VOIS Ireland - Cairo\Giza Residents (Work From Home),_VOIS Egypt,"Cairo, Egypt ",Full TimeShift BasedWork From Home,8 hours ago,Entry Level · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · English · Fluent in English · Communication skills · c1 · Call Centre
Property consultant,Jumeirah Development,"6th of October, Giza, Egypt ",Full Time,8 hours ago,Entry Level · 1+ Yrs of Exp · Sales/Retail · Real Estate · Sales Target · Negotiation · English · Sales · Communication · Sales Skills · MS Office
Internal Auditor,Monginis Food Industries & Services,"Abu Rawash, Giza, Egypt ",Full Time,8 hours ago,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Operations/Management · Quality · Auditing · Financial Auditor · Financial · Financial Analysis · FMCG · Accounting · Internal auditor
Sales Officer,Egyptrol,"Nasr City, Cairo, Egypt ",Full Time,8 hours ago,Experienced · 5 - 7 Yrs of Exp · Operations/Management · Sales/Retail · Engineering - Mechanical/Electrical · Engineering · Sales · sales skills · Sales Target · business · English
Audit section head,El Abd Group,"Dokki, Giza, Egypt ",Full Time,8 hours ago,Experienced · 6 - 9 Yrs of Exp · Accounting/Finance · Operations/Management · Other · Auditing · Accounting · Finance
Personnel Specialist,Arma Non Food,"10th of Ramadan City, Cairo, Egypt ",Full Time,8 hours ago,Entry Level · 1 - 3 Yrs of Exp · Administration · Human Resources · Administration · Business Administration · HR · HR Diploma · Human Resources (HR) · Personnel · excel
HR Specialist,Zamil Steel Buildings Co,"6th of October, Giza, Egypt ",Full Time,8 hours ago,Experienced · 2 - 3 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · Microsoft Office · Recruitment · Management · English · Communication · Personnel · Software
Recruitment and OD Section Head,Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,8 hours ago,Experienced · 5 - 8 Yrs of Exp · Human Resources · Operations/Management · Human Resources · Human Resources (HR) · Manufacturing · Performance Management · OD · Recruitment · Management · Computer Skills
General Accountant,Matrix Sports Club,"Tanta, Gharbia, Egypt ",Full Time,8 hours ago,Experienced · 3 - 6 Yrs of Exp · males_only · Accounting/Finance · Accounting · Commerce · Finance · Financial Analysis · Oracle · SAP · word · Microsoft Dynamics · Financial
General Manager,Razaz Group,"New Cairo, Cairo, Egypt ",Full Time,8 hours ago,Manager · 5 - 10 Yrs of Exp · Administration · Operations/Management · Business Administration · Communication skills · Financial Management · English
Senior Publications and Website Editor,British University of Egypt,"Shorouk City, Cairo, Egypt ",Full Time,8 hours ago,Experienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Marketing · Content Editing · Publications
Product Line Head (Marketing),El Abd Group,"Giza, Egypt ",Full Time,8 hours ago,Experienced · 5 - 9 Yrs of Exp · Business Development · Marketing/PR/Advertising · Sales/Retail · Marketing · Communication skills · Business Management · Engineering · Software
Account Receivable Accountant,El Abd Group,"Mohandessin, Giza, Egypt ",Full Time,8 hours ago,Experienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Accounting · Finance · Banking · Accounts Receivable · Financial Analysis
Data Entry Specialist,FRIDAL,"6th of October, Giza, Egypt ",Full Time,8 hours ago,Entry Level · 1 - 2 Yrs of Exp · Administration · Data Entry · Microsoft Office · Administration · Typing · Documentation · Admin · Computer Skills · English
Accountant,Swiss Garment Company,"10th of Ramadan City, Sharqia, Egypt ",Full Time,8 hours ago,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Finance · English · Commerce · Financial Management · Microsoft Office · Microsoft Excel
Restoring Family Links (RFL) Junior Field Officer,International Committee of Red Cross,"Maadi, Cairo, Egypt ",Full Time,8 hours ago,Entry Level · 1 - 2 Yrs of Exp · Operations/Management · Other · social · Administration · ERC · Data Entry · Communication · social worker
Android Developer,Akhnaton for Trading & Distributing,"Cairo, Egypt ",Full Time,8 hours ago,Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Android · Computer Science · Mobile Development · native · Software Development · Information Technology (IT) · Mobile · Java · Kotlin
Mechanical Design Department Manager,Confidential,"Cairo, Egypt ",Full Time,8 hours ago,Manager · 18 - 20 Yrs of Exp · Engineering - Mechanical/Electrical · Mechanical · Mechanical Design · Mechanical Engineering · Manager · Engineering · Design · HVAC · Fire Fighting · Revit
أمين مخزن,Zeina Group,"10th of Ramadan City, Sharqia, Egypt ",Full Time,8 hours ago,Experienced · 1 - 2 Yrs of Exp · Logistics/Supply Chain · Logitics · Supply Chain
"Senior Officer, Instructional Design",ESLSCA University,"6th of October, Giza, Egypt ",Full Time,8 hours ago,Experienced · 3 - 5 Yrs of Exp · Administration · Administration · Customer Service
Senior Purchasing Specialist,TechnoBit Group,"Sharabeya, Cairo, Egypt ",Full Time,8 hours ago,Experienced · 3 - 5 Yrs of Exp · females_only · Accounting/Finance · Manufacturing/Production · Purchasing/Procurement · Procurement · Purchasing · Purchasing Specialist · senior · Logistics · Supply Chain · Negotiation
Senior Marketplace Accounts Manager,Confidential,"New Cairo, Cairo, Egypt ",Full Time,9 hours ago,Manager · 3+ Yrs of Exp · Operations/Management · Sales/Retail · Fashion · E-Commerce · Fashion · Marketing · Retail · Sales · English · Social Media
Product Design Engineer,AlAmal Alsharif For Plastic,"Heliopolis, Cairo, Egypt ",Full Time,9 hours ago,Experienced · 1 - 3 Yrs of Exp · R&D/Science · Engineering - Mechanical/Electrical · 3d · product design · engineering · Microsoft Office
"Specialist, Student Enrollment",ESLSCA University,"Giza, Giza, Egypt ",Full Time,9 hours ago,Experienced · 1 - 3 Yrs of Exp · Administration · Administration · Customer Service
Pharmacist ( Madinaty ),Sehha Pharmacy,"Madinaty, Cairo, Egypt ",Full TimeShift Based,9 hours ago,Entry Level · 1 - 2 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Pharmacy · Medical · HealthCare · Pharmaceutical · Pharmacist · Pharmacology · Medical Sales
LG Accountant,Delta Egypt For Lighting,"Obour City, Cairo, Egypt ",Full Time,9 hours ago,Experienced · 3 - 4 Yrs of Exp · Accounting/Finance · Accounting · Banking · Commerce · Finance · Lg · LC · Management · Microsoft Word · word
Senior .NET Developer C# / VB 6,GetTechForce.com,"Alexandria, Egypt ",Full TimeWork From Home,9 hours ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · Computer Science · crystal reports · Database · Design · Development · Information Technology (IT) · Programming
Full Stack Developer,Dafater,"Nasr City, Cairo, Egypt ",Full TimeWork From Home,9 hours ago,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · CSS · HTML · javaScript · MySQL
Mechanical Site Engineer,Pinnacle Real Estate Investments and Development Management,"Maadi, Cairo, Egypt ",Full Time,9 hours ago,Experienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering · Mechanical Engineering
Tenders Representative - Cairo,Pharaonia Pharma,"Cairo, Egypt ",Full Time,9 hours ago,Entry Level · 0 - 2 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Tendering · Sales · Pharmaceutical Industry · Vet · Pharmacy · sales skills
Scriptwriter,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,9 hours ago,Experienced · 2 - 4 Yrs of Exp · Writing/Editorial · Marketing · broadcast · Scriptwriting · media · Content · Content Writing · Creative · English · Production
Electrical Site Engineer,Pinnacle Real Estate Investments and Development Management,"Maadi, Cairo, Egypt ",Full Time,9 hours ago,Experienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering · Electrical Engineering
Preschool Montessori French Teacher - (Ninety Branch),Trillium Preschool,"New Cairo, Cairo, Egypt ",Full Time,9 hours ago,Entry Level · 1 - 2 Yrs of Exp · Education/Teaching · Education · Montessori · Preschool · French Teaching · Teaching · french
Performance & Talent Management Specialist,Talaat Moustafa Group,"Cairo, Egypt ",Full Time,9 hours ago,Experienced · 1 - 3 Yrs of Exp · Human Resources · Performance · Performance Management · Human Resources (HR) · Talent management · HR · HR Diploma · English · Organization Development · KPI'S
Personal Assistant to CEO,Confidential,"Cairo, Egypt ",Full Time,9 hours ago,Experienced · 6+ Yrs of Exp · females_only · Administration · Operations/Management · Administration · Management · Personal Assistant · Executive Assistant · CEO Executive Assistant · CEO Assistant
Copy writer & content creator,Salem Capital,"New Cairo, Cairo, Egypt ",Full TimeFreelance / Project,9 hours ago,Experienced · 2 - 5 Yrs of Exp · Business Development · Writing/Editorial · Media/Journalism/Publishing · Content Writing · copy writer · Editing · journalism · Marketing · Social Media · WordPress
Senior QC Engineer,Informatique Education,"Cairo, Egypt ",Full Time,9 hours ago,Experienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · QC · quality · Quality Control · Software Testing · Software Development
IOS Developer,RAQAMYAT,"Maadi, Cairo, Egypt ",Full Time,9 hours ago,Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · iOS · Programming · APIs · Core Animation · Agile · RESTful
Technical Support Engineer - Tier 1,Ulemt,"New Cairo, Cairo, Egypt ",Full Time,9 hours ago,Experienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · computer · Computer Science · Help desk · Information Technology (IT) · Microsoft · technical · Technical Support
Construction Manager,Confidential,"New Cairo, Cairo, Egypt ",Full Time,9 hours ago,Manager · 15 - 20 Yrs of Exp · Engineering - Construction/Civil/Architecture · Civil Engineering · Construction · Management · Project Management · AutoCAD · Negotiation
Business Coordinator,IT Pillars,"Nasr City, Cairo, Egypt ",Full Time,9 hours ago,Entry Level · 0 - 3 Yrs of Exp · Administration · Business Development · Administration · Sales · English · Business Administration · Microsoft Office · Customer Service · Business · Marketing
Senior Treasury Accountant,Allamna Integrated Solutions,"Heliopolis, Cairo, Egypt ",Full Time,10 hours ago,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Banking · Treasury · Accounting · business · English · Finance · Treasury Accounting · Bank Reconciliation
Digital Marketing Specialist,Nozha Group,"Sheraton, Cairo, Egypt ",Full Time,10 hours ago,Experienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · Digital Marketing Specialist · Digital · E-Marketing · marketing specialist · Marketing · Social Media · specialist
HSE Officer,Egypro FME,"Maadi, Cairo, Egypt ",Full Time,10 hours ago,"Entry Level · 1 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · HSE · Safety · Health, Safety and Environment · Microsoft Office · English · Engineering · quality"
Delivery Officer (10th of Ramadan) -مسؤول تسليمات,Elsewedy industries,"10th of Ramadan City, Cairo, Egypt ",Full Time,10 hours ago,Entry Level · 1 - 2 Yrs of Exp · Engineering - Mechanical/Electrical · Logistics · Logistics Operations · Delivery Management · Store Management
Electronic payment sales representative,Confidential,"Faisal, Giza, Egypt ",Full Time,10 hours ago,Entry Level · Sales/Retail · payment · sales skills · Sales Target · Sales
Online English Teacher,OTO Courses,"Maadi, Cairo, Egypt ",Full TimePart TimeWork From Home,10 hours ago,Experienced · 1 - 3 Yrs of Exp · Education/Teaching · British Accent · English · Education · English Teaching · Teaching · CELTA · Communication · ESP · TEFL
Odoo Implementer,Reliance Egypt,"Downtown, Cairo, Egypt ",Full Time,10 hours ago,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · ERP · ERP Implementation · Computer Science
Treasury Accountant,BituNil,"Heliopolis, Cairo, Egypt ",Full Time,10 hours ago,Entry Level · 2 - 3 Yrs of Exp · Accounting/Finance · Banking · Treasury · Finance · Accounting · Financial Analysis · Microsoft Office · Commerce
Admissions & Registration Senior Specialist,Egypt University of Informatics (EUI),"New Capital, Cairo, Egypt ",Full Time,10 hours ago,Experienced · 4 - 7 Yrs of Exp · Administration · Administration · Students Affairs · Admissions · Registrar · Higher Education · university
Senior Machine Learning Engineer,Media Sci,"New Cairo, Cairo, Egypt ",Full TimeWork From Home,10 hours ago,Experienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Machine Learning · Software Engineering · Python · OOP · NLP
External Auditor,Ashraf Haddad Office For Accounting & Auditing,"Heliopolis, Cairo, Egypt ",Full Time,10 hours ago,Experienced · 4 - 7 Yrs of Exp · Accounting/Finance · Auditing · Accounting · Financial Accounting · Auditor · Finance · Financial Analysis · Microsoft Office · Audit · External Auditor
"Real Estate Sales - "" Tatweer Misr """,Beit Network For Real Estate,"6th of October, Giza, Egypt ",Internship,10 hours ago,Student · Sales/Retail · Communication · Communication skills · English · Real Estate · Sales · sales skills · Sales Target · Skills
Corporate Operations Director,Confidential,"New Cairo, Cairo, Egypt ",Full Time,10 hours ago,Senior Management · 20+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Operations/Management · Engineering - Other · Civil Engineering · Communication · Construction · Engineering · Management · Microsoft Office · business
Accounting Supervisor,ExCraft Group,"Sheraton, Cairo, Egypt ",Full Time,10 hours ago,Experienced · 5 - 8 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Accounting · Accounting Software · Analysis · Commerce · English · ERP · Financial Analysis
"Real Estate Sales - "" Sodic Developments """,Beit Network For Real Estate,"New Cairo, Cairo, Egypt ",Internship,10 hours ago,Student · Sales/Retail · Communication · Communication skills · Real Estate · Sales · sales skills · Sales Target · Skills · English
Senior Java Developer,Media Sci,"New Cairo, Cairo, Egypt ",Full TimeWork From Home,10 hours ago,Experienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Python · MySQL · Software Development · Software Engineering · SOAP · Git
"Property Consultant - "" Sodic Developments """,Beit Network For Real Estate,"6th of October, Giza, Egypt ",Full TimePart TimeFreelance / Project,10 hours ago,Entry Level · 0 - 2 Yrs of Exp · Sales/Retail · Property · Communication · developer · Real Estate · English · sales skills · Sales · Sales Target · Skills
Sales Analyst,Azza Fahmy Jewellery,"Zamalek, Cairo, Egypt ",Full Time,10 hours ago,Entry Level · 1 - 5 Yrs of Exp · Analyst/Research · Sales/Retail · Analysis · analytical · excel · Sales Analysis
